nb_sample,node,max_cycle,max_cycle,avgcycle,max_delta,avg_delta,
26501,6,11,11,5.25,10,5.95,
26778,6,12,12,4.5,11,7.027777777777778,
27327,6,8,8,4.5,7,2.2916666666666665,
27650,6,9,9,5.0,8,3.7419354838709675,
27790,6,9,9,4.0,8,4.568965517241379,
27900,6,9,9,5.0,8,5.038461538461538,
28590,6,8,8,3.6666666666666665,7,3.4722222222222223,
28864,6,8,8,4.5,7,4.161764705882353,
29025,6,9,9,3.25,8,4.074074074074074,
29968,6,8,8,4.5,7,2.4565217391304346,
30129,6,8,8,4.5,7,2.9473684210526314,
30226,6,10,10,5.5,9,4.0,
30649,6,8,8,4.5,7,2.94,
30966,6,8,8,4.5,7,3.0,
30984,6,8,8,4.5,7,2.8620689655172415,
31101,6,8,8,4.5,7,2.2419354838709675,
31202,6,9,9,3.25,8,4.5,
31585,6,8,8,4.5,7,2.888888888888889,
31801,6,9,9,5.0,8,3.888888888888889,
32124,6,8,8,3.3333333333333335,7,2.96,
32190,6,9,9,4.333333333333333,8,3.2666666666666666,
32315,6,8,8,4.5,7,3.2083333333333335,
32474,6,8,8,4.5,7,2.0833333333333335,
33383,6,8,8,4.5,7,2.414285714285714,
33682,6,8,8,4.5,7,3.742424242424242,
33943,6,8,8,3.3333333333333335,6,3.0428571428571427,
34121,6,8,8,4.5,7,2.013888888888889,
34263,6,10,10,5.25,8,5.0,
34625,6,8,8,4.5,7,3.1142857142857143,
34641,6,8,8,3.25,7,3.7,
34910,6,8,8,4.5,7,3.2586206896551726,
35565,6,8,8,2.75,7,3.757142857142857,
35744,6,10,10,4.0,9,4.878787878787879,
36267,6,8,8,4.5,7,2.2058823529411766,
36444,6,8,8,3.3333333333333335,7,3.0,
36934,6,8,8,4.5,7,2.75,
37054,6,8,8,3.3333333333333335,7,3.111111111111111,
37616,6,8,8,3.3333333333333335,7,3.875,
37778,6,8,8,4.5,7,2.1323529411764706,
38205,6,9,9,5.0,8,3.652173913043478,
38778,6,9,9,5.0,8,3.6458333333333335,
39053,6,10,10,5.5,9,4.738095238095238,
39074,6,8,8,4.5,7,2.5961538461538463,
39166,6,8,8,3.3333333333333335,7,1.6612903225806452,
39214,6,12,12,5.0,11,6.015151515151516,
39583,6,8,8,2.4,7,4.457142857142857,
40146,6,11,11,6.0,10,7.615384615384615,
40259,6,9,9,3.25,8,3.257575757575758,
40866,6,8,8,4.333333333333333,7,3.5185185185185186,
41541,6,8,8,3.6666666666666665,7,2.7857142857142856,
41598,6,9,9,5.0,8,4.21875,
41977,6,8,8,4.5,7,2.357142857142857,
42015,6,8,8,4.5,7,3.5526315789473686,
42391,6,8,8,2.75,7,5.395833333333333,
42898,6,8,8,3.3333333333333335,7,3.357142857142857,
42966,6,8,8,4.5,7,2.6785714285714284,
43160,6,8,8,4.5,7,2.3653846153846154,
43424,6,8,8,3.3333333333333335,7,2.9423076923076925,
43453,6,8,8,5.0,7,4.15,
43471,6,9,9,4.333333333333333,8,3.392857142857143,
43848,6,8,8,2.75,7,3.2903225806451615,
45648,6,8,8,4.5,7,2.9838709677419355,
45927,6,9,9,5.0,8,3.8421052631578947,
46081,6,8,8,3.25,7,3.3225806451612905,
46088,6,8,8,4.5,7,3.189655172413793,
46159,6,9,9,5.0,8,3.888888888888889,
46288,6,10,10,5.5,9,5.525,
46515,6,12,12,4.25,11,7.88,
47347,6,8,8,4.5,7,3.3653846153846154,
47548,6,10,10,5.5,9,4.2,
47830,6,9,9,4.666666666666667,8,3.40625,
47998,6,10,10,6.0,9,3.1875,
48793,6,8,8,4.5,7,3.5,
48903,6,8,8,4.5,7,2.0833333333333335,
49058,6,8,8,2.75,7,4.184210526315789,
49365,6,8,8,3.6666666666666665,7,2.7794117647058822,
49419,6,8,8,4.5,7,3.234375,
49865,6,8,8,4.0,7,2.3870967741935485,
