n,density,max_cycle,nb_sym,nb_sym_transcient,nb_sym_cycle,ratio_sym,ratio_sym_transcient,ratio_sym_cycle,mat,
470,0.571,2,0,0,0,0.44642857142857134,0.44599303135888496,0.45714285714285713,"[0.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 0.0; -1.0; 0.0; -1.0; 1.0; 0.0; 1.0; 0.0; 1.0; 1.0; -1.0; -1.0; 0.0; 1.0; 1.0; 0.0; 1.0; -1.0; -1.0; 1.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 1.0; 1.0]",
471,0.980,1,0,0,0,0.34151785714285693,0.3430821147356578,0.14285714285714285,"[-1.0; -1.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 1.0; -1.0; -1.0; -1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; 1.0; -1.0; 1.0; 1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 0.0; 1.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0; -1.0; -1.0; 1.0; -1.0; -1.0; -1.0]",
472,0.571,2,0,0,0,0.3392857142857142,0.3405714285714284,0.28571428571428564,"[1.0; 0.0; 0.0; 1.0; 0.0; -1.0; -1.0; 0.0; 0.0; -1.0; -1.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 1.0; -1.0; -1.0; 1.0; -1.0; 0.0; -1.0; 1.0; -1.0; 1.0; -1.0; -1.0; -1.0; 0.0; 0.0; -1.0; 1.0; -1.0; 0.0; 0.0; -1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 1.0; 0.0]",
473,0.837,2,0,0,0,0.4308035714285712,0.43676814988290363,0.3095238095238095,"[-1.0; -1.0; -1.0; -1.0; -1.0; 1.0; 1.0; -1.0; 1.0; 1.0; 1.0; 1.0; 0.0; -1.0; -1.0; 1.0; -1.0; 1.0; 0.0; 1.0; 1.0; -1.0; 1.0; -1.0; 1.0; -1.0; 0.0; 0.0; 0.0; -1.0; 1.0; 1.0; 1.0; -1.0; 0.0; 1.0; -1.0; 1.0; 0.0; -1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 0.0; -1.0; -1.0; 1.0]",
474,0.306,1,0,0,0,0.41071428571428564,0.4104308390022675,0.42857142857142855,"[0.0; 0.0; -1.0; -1.0; -1.0; 0.0; 0.0; 0.0; 1.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; -1.0; 0.0; -1.0; 0.0; 1.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]",
475,0.224,1,0,0,0,0.3571428571428569,0.3577052868391448,0.2857142857142857,"[0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0]",
476,0.653,4,0,0,0,0.7053571428571419,0.7070217917675539,0.6857142857142857,"[0.0; 1.0; -1.0; 0.0; 1.0; -1.0; -1.0; 1.0; 1.0; 1.0; 1.0; 1.0; -1.0; 1.0; 1.0; 1.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; -1.0; 0.0; 1.0; -1.0; 1.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 1.0; -1.0; -1.0; 0.0; 0.0; 1.0; 1.0; -1.0; -1.0; 0.0; 0.0; -1.0; 1.0; -1.0]",
477,0.245,2,0,0,0,0.3928571428571428,0.3902439024390244,0.45714285714285713,"[-1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 1.0; -1.0; 1.0; 0.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0; 0.0; -1.0; 0.0; 0.0; 0.0]",
478,0.592,1,0,0,0,0.2968749999999997,0.2980877390326206,0.14285714285714285,"[0.0; -1.0; -1.0; 0.0; 0.0; -1.0; 1.0; -1.0; 0.0; -1.0; 0.0; -1.0; 0.0; 1.0; 1.0; 0.0; -1.0; 1.0; 0.0; 0.0; -1.0; 0.0; 1.0; -1.0; -1.0; 1.0; 0.0; 0.0; -1.0; 0.0; -1.0; -1.0; -1.0; -1.0; 0.0; -1.0; 1.0; 1.0; 0.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; -1.0; -1.0; 0.0]",
479,0.449,4,0,0,0,0.5714285714285711,0.5702671312427406,0.6,"[1.0; 0.0; 0.0; 1.0; -1.0; 1.0; 1.0; -1.0; 0.0; 1.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -1.0; -1.0; 0.0; -1.0; 0.0; 0.0; -1.0; 0.0; 1.0; 1.0; -1.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; -1.0; 1.0; -1.0; 0.0; 0.0; 0.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0]",
